Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4o8DOGfUL8nIKltWIpDvBa,"Reunion","Detroit Deli (A Taste Of Detroit)","Slum Village;J Dilla",2004-01-01,243333,38,true,brunocaivanophy,2024-08-10T17:17:07Z,"jazz rap,plunderphonics,hip hop alternativo","Priority Records",0.483,0.712,11,-6.921,0,0.228,0.403,0,0.0812,0.365,100.026,4
spotify:track:7b7FqpzDoLvdzTEW2fj9qc,"Critical - Remix","Throwbacks","Planet Asia;Zion I;Madlib",2004-09-19,243333,4,true,brunocaivanophy,2024-08-22T21:03:18Z,"hip hop underground,boom bap,West Coast hip hop,hyphy,hip hop experimental,hip hop alternativo,jazz rap,plunderphonics","Gold Chain Music",0.726,0.51,1,-12.629,1,0.365,0.749,0.0000117,0.362,0.701,90.932,4
spotify:track:2DtlsG1WkjGo4TWd2W2GEu,"N2U (feat. Khujo Goodie)","Idlewild","Outkast;Khujo Goodie",2006-08-22,220840,24,true,brunocaivanophy,2024-09-24T04:50:50Z,"hip hop sureño,hip hop,crunk","LaFace Records",0.808,0.463,11,-6.26,0,0.373,0.0863,0,0.408,0.486,178.967,4
spotify:track:6glsMWIMIxQ4BedzLqGVi4,"So Fresh, So Clean","Stankonia","Outkast",2000-10-31,240026,74,true,brunocaivanophy,2024-09-24T04:56:12Z,"hip hop sureño,hip hop","Arista/LaFace Records",0.725,0.64,5,-7.905,0,0.332,0.0281,0,0.099,0.915,166.028,3
spotify:track:2yWyV60FEu0C2QPoPkQfPj,"What You Do","The Chittlin' Circuit Circuit 1.5 (Deluxe Edition)","Little Brother",2005-06-21,203040,21,true,brunocaivanophy,2024-10-01T17:21:37Z,"hip hop underground,hip hop sureño","Imagine Nation Music / For Members Only / EMPIRE",0.45,0.883,11,-7.079,0,0.39,0.413,0,0.613,0.566,93.999,4
spotify:track:31wesIhHlETfVr8L0GrnHP,"Due Our Time","Sounds of the Rooftop","Justice System",1999-01-01,184533,15,false,brunocaivanophy,2025-02-08T05:32:56Z,"jazz rap,acid jazz","Illrivermuzic, Inc.",0.728,0.881,11,-6.676,0,0.23,0.246,0.00000114,0.149,0.507,102.447,4
spotify:track:7tjAfI7Llabc2XDn0wu0eT,"To My (feat. Nas & Skillz)","Tim's Bio: From The Motion Picture - Life From Da Bassment","Timbaland;Nas;Skillz",1998-11-24,224506,0,true,brunocaivanophy,2025-02-16T17:05:02Z,"hip hop vieja escuela,East Coast hip hop,hip hop","Blackground Records",0.837,0.529,8,-11.593,1,0.351,0.0736,0.00000545,0.226,0.757,92.967,4
spotify:track:5mEwhCsqadBZIE7SSrv1gC,"Down And Out","Purple Haze","Cam'ron;Kanye West;Syleena Johnson",2004-01-01,248626,57,true,brunocaivanophy,2025-04-15T21:24:55Z,"East Coast hip hop,rap,neosoul","Roc-A-Fella",0.74,0.841,6,-2.891,0,0.237,0.0232,0,0.111,0.673,83.007,4
spotify:track:2g69OToKgXkgsdmy6MlyTm,"Imaginary Players","In My Lifetime, Vol.1","JAŸ-Z",1997-11-04,237333,51,true,brunocaivanophy,2025-04-16T03:32:44Z,"hip hop,East Coast hip hop,rap","Roc Nation / Jay-Z",0.798,0.68,1,-5.918,0,0.371,0.0726,0.00000219,0.0896,0.699,88.156,4
spotify:track:3DG2hUPMLKcFptV1Gv32oI,"Who You Wit II","In My Lifetime, Vol.1","JAŸ-Z",1997-11-04,269706,43,true,brunocaivanophy,2025-04-16T03:35:35Z,"hip hop,East Coast hip hop,rap","Roc Nation / Jay-Z",0.798,0.643,1,-8.66,1,0.478,0.0766,0,0.611,0.566,92.396,4
spotify:track:3F3R4uyTMkX9jRCEVVmdz6,"Bring The Pain","Tical","Method Man",1994-11-15,189760,59,true,brunocaivanophy,2025-06-06T19:55:00Z,"East Coast hip hop,hip hop vieja escuela,hip hop,hardcore hip hop","Def Jam Recordings",0.835,0.456,6,-10.195,0,0.266,0.381,0.00364,0.16,0.225,101.889,4
