Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:40EJ03MfDBaWAGtIckvTVS,"Last Laugh","Mid Spiral","BADBADNOTGOOD",2024-07-30,188761,33,false,brunocaivanophy,2024-08-09T15:39:12Z,"","XL Recordings",0.522,0.829,7,-8.206,0,0.0367,0.054,0.944,0.244,0.658,126.913,4
spotify:track:13JpWBYaWI7V6M6tGEzFdF,"Diesel (feat. Kool G Rap)","Diesel (feat. Kool G Rap)","The Alchemist;Kool G Rap",2022-02-28,155000,30,true,brunocaivanophy,2024-08-09T18:17:10Z,"hip hop alternativo,jazz rap,hip hop experimental,boom bap,East Coast hip hop,hip hop vieja escuela,hardcore hip hop,horrorcore,hip hop underground","ALC",0.653,0.562,6,-8.752,1,0.297,0.542,0,0.106,0.649,83.478,4
spotify:track:4Aa6NtW6JQcFEvR831K8xu,"oHio (feat. Freddie Gibbs)","BLUE LIPS","ScHoolboy Q;Freddie Gibbs",2024-03-01,291038,45,true,brunocaivanophy,2024-08-12T05:40:18Z,"jazz rap,hip hop alternativo","Top Dawg Entertainment/Interscope Records",0.561,0.703,10,-7.453,0,0.281,0.134,0.00000945,0.154,0.501,120.474,3
spotify:track:3jtsJ7vMWWiRvFdDBQDKOz,"The Diary (Instrumental)","The Diary (Instrumental)","J Dilla",2015-07-08,89973,0,false,brunocaivanophy,2024-08-12T05:48:17Z,"plunderphonics,hip hop alternativo,jazz rap","Pay Jay",0.599,0.49,8,-7.014,0,0.047,0.00522,0.59,0.0732,0.765,148.224,4
spotify:track:5yVGW2o9LXaiiS4I3HUM3k,"May Ninth","A LA SALA","Khruangbin",2024-04-05,192144,63,false,brunocaivanophy,2024-08-14T19:26:55Z,"neopsicodélico","Dead Oceans",0.609,0.356,6,-11.163,0,0.0364,0.353,0.855,0.138,0.531,80.838,4
spotify:track:41c8iFH2Q8n87lkrlaRZ1X,"Pon Pón","A LA SALA","Khruangbin",2024-04-05,178436,55,false,brunocaivanophy,2024-08-14T19:32:59Z,"neopsicodélico","Dead Oceans",0.613,0.554,9,-13.774,0,0.0486,0.213,0.875,0.117,0.488,112.658,4
spotify:track:23ZnFsFR5WOfLePXoOWAv2,"DYKWYD [Feat. Braxton Cook]","Solar Music","Butcher Brown;Braxton Cook",2023-10-06,242096,25,true,brunocaivanophy,2024-08-14T21:06:34Z,"nu jazz,indie jazz,jazz fusión,jazz funk,neosoul","Concord Jazz",0.782,0.675,0,-4.22,1,0.0468,0.0371,0.0709,0.087,0.622,141.067,4
spotify:track:3DrGQn1hMjTlwqSF7Oa3CI,"Lagonda","Standing on Giant Shoulders","Seafood Sam;Goya Gumbani",2024-04-19,184250,7,true,brunocaivanophy,2024-08-14T21:12:07Z,"jazz rap,hip hop underground","drink sum wtr",0.658,0.633,9,-6.523,1,0.311,0.289,0.0000118,0.424,0.677,83.818,4
spotify:track:5tSPCr8Tw38Rzn7t8fJhep,"La Paciencia","1686","Ekathé;Fermin Carpena",2024-04-18,247349,30,false,brunocaivanophy,2024-08-14T21:14:34Z,"jazz fusión","EKT",0.749,0.724,1,-7.378,1,0.045,0.616,0.733,0.113,0.342,119.922,4
spotify:track:6CO5jaNwuiZJ0rlwMBeVSm,"it's not litter if you bin it","dog eat dog food world","Niko B",2024-05-24,186005,45,false,brunocaivanophy,2024-08-18T22:43:51Z,"","NIKO B",0.535,0.769,8,-9.79,0,0.198,0.217,0.127,0.109,0.871,86.096,5
spotify:track:3XHo6fOc3QA2t6MHrpcG5w,"ur a bundle of joy !","dog eat dog food world","Niko B",2024-05-24,181720,38,false,brunocaivanophy,2024-08-18T23:11:30Z,"","NIKO B",0.727,0.8,0,-4.078,1,0.0908,0.0292,0.0328,0.359,0.737,97.061,4
spotify:track:20SWnAlDGcswjHSKIrwDb8,"This Man","The Auditorium Vol. 1","Common;Pete Rock",2024-07-12,242579,37,false,brunocaivanophy,2024-08-19T19:17:03Z,"hip hop,jazz rap,neosoul,East Coast hip hop,boom bap","Loma Vista Recordings",0.484,0.906,6,-2.072,0,0.283,0.00955,0,0.31,0.746,177.866,4
