Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4l5qg8seVdjfcHCfRTxCgF,"Las Vegas Turnaround (The Stewardess Song)","Abandoned Luncheonette","Daryl Hall & John Oates",1973-01-01,176626,45,false,brunocaivanophy,2024-10-28T20:34:43Z,"yacht rock,soft rock","Rhino Atlantic",0.707,0.459,5,-16.067,1,0.0383,0.292,0.00000104,0.0999,0.885,119.499,4
spotify:track:14QIzQLldgAVxrkDnaV8b7,"I Really Don't Know Anymore","Christopher Cross","Christopher Cross",1979,233133,47,false,brunocaivanophy,2024-10-28T20:34:47Z,"yacht rock,soft rock","Rhino/Warner Records",0.647,0.43,4,-13.183,1,0.038,0.245,0.000035,0.0902,0.649,122.062,4
spotify:track:6D4TsZdrxObIoZYFp7djR1,"Eras Tú, Era Yo","40 Grandes Exitos","Mocedades",2000-02-01,224533,18,false,brunocaivanophy,2025-04-11T15:44:17Z,"trova","Zafiro",0.669,0.55,9,-8.23,0,0.0343,0.367,0,0.184,0.878,133.055,4
spotify:track:5q6LixvVOrfFpxM2Zsx5EK,"Nite Crawler","Larry Carlton","Larry Carlton",1978,323533,28,false,brunocaivanophy,2025-10-17T23:10:24Z,"smooth jazz,jazz fusión,jazz,cool jazz","Rhino/Warner Records",0.626,0.546,9,-13.348,1,0.0292,0.0537,0.849,0.0869,0.656,101.311,4
spotify:track:6Jr4qvO1Z79POqmDFRqusV,"Room 335 - Long Version","Larry Carlton","Larry Carlton",1978,339426,34,false,brunocaivanophy,2025-10-17T23:10:29Z,"smooth jazz,jazz fusión,jazz,cool jazz","Rhino/Warner Records",0.528,0.471,2,-12.258,1,0.0347,0.152,0.597,0.0969,0.743,128.293,4
spotify:track:4pyprpESTp5rOCeStZZvyL,"Florida Room","Kamakiriad","Donald Fagen",1993-05-25,362240,38,false,brunocaivanophy,2025-12-01T19:22:49Z,"yacht rock,aor,jazz pop","Reprise",0.769,0.548,7,-13.075,1,0.0384,0.329,0.0000425,0.106,0.704,102.875,4
spotify:track:2cgNpsfZcBzdgeNPEeCnue,"Aja","Aja","Steely Dan",1977-09-23,477925,55,false,brunocaivanophy,2025-12-01T19:22:59Z,"yacht rock,rock clásico","Geffen",0.538,0.441,7,-15.472,1,0.0322,0.0858,0.0224,0.0692,0.343,117.07,4
spotify:track:30g9qnqIVMcTSBh56oDZNJ,"If That's What It Takes","If That's What It Takes","Michael McDonald",1982-08-03,260106,32,false,brunocaivanophy,2025-12-01T19:23:06Z,"yacht rock","Reprise",0.755,0.54,3,-16.827,1,0.0374,0.0243,0.0000227,0.0561,0.959,139.846,4
spotify:track:3gdkPP2mYy1X6Otb03Zbb8,"Losin' End","Takin' It to the Streets","The Doobie Brothers",1976-03-12,226560,40,false,brunocaivanophy,2025-12-01T19:23:11Z,"yacht rock,rock clásico,soft rock,rock sureño","Warner Records",0.718,0.455,7,-12.269,1,0.0307,0.064,0.0000618,0.0504,0.968,138.601,4
spotify:track:2dcL0moa4ZOrRNUBrOMojo,"Casablanca","Dane Donohue","Dane Donohue",1978-08-22,243560,44,false,brunocaivanophy,2025-12-01T19:23:15Z,"yacht rock,aor,soft rock","Legacy Recordings",0.468,0.712,10,-8.348,1,0.036,0.375,0.00027,0.238,0.641,122.206,4
