Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1IunnvORB8ACoezqsAzkEA,"The Mystery (Dilla's Still Here)","Beat Konducta Vol. 5-6: Dil Cosby & Dil Withers Suite","Madlib",2009-02-10,107160,26,false,brunocaivanophy,2025-12-18T05:36:15Z,"hip hop experimental,hip hop alternativo,jazz rap,plunderphonics","Stones Throw Records",0.672,0.534,6,-12.922,0,0.423,0.713,0.0454,0.637,0.688,87.139,4
spotify:track:01fuVKPG2JLARPLxmzAKUG,"Chester Fields","Monotones","DJ Harrison",2013-04-09,131480,20,false,brunocaivanophy,2025-12-17T06:38:49Z,"","Jellowstone",0.583,0.306,4,-8.074,0,0.0631,0.214,0.928,0.111,0.368,79.567,5
spotify:track:0eUt74oI4D4W8a69QYDkYF,"Bahia Dreamin’","Headnod Suite","Karriem Riggins",2017-02-24,130634,30,false,brunocaivanophy,2025-12-17T06:39:18Z,"","Stones Throw Records",0.418,0.649,2,-10.455,1,0.0356,0.402,0.856,0.0927,0.721,81.047,4
spotify:track:7onyfUHqJu45o9NSWlKYXW,"Oh Oh","Jay Love Japan","J Dilla",2007-05-10,188666,26,false,brunocaivanophy,2025-12-17T06:38:59Z,"plunderphonics,hip hop alternativo,jazz rap","Pay Jay",0.753,0.612,4,-9.832,0,0.0881,0.0507,0.734,0.142,0.501,93.658,4
spotify:track:6wzNLZqFDbwHCj1gu04Pp6,"Smoke Interlude (Hawaiian Punch)","Beat Konducta Vol. 5-6: Dil Cosby & Dil Withers Suite","Madlib",2009-02-10,61840,14,false,brunocaivanophy,2025-12-18T06:42:58Z,"hip hop experimental,hip hop alternativo,jazz rap,plunderphonics","Stones Throw Records",0.615,0.453,11,-13.291,0,0.117,0.0193,0.0437,0.315,0.684,101.954,4
spotify:track:2ZoOXQxeSdLNm8sqtkPpMj,"Chop Chop","Headnod Suite","Karriem Riggins",2017-02-24,77749,19,false,brunocaivanophy,2025-12-18T06:48:41Z,"","Stones Throw Records",0.676,0.415,7,-8.675,1,0.104,0.0182,0.334,0.166,0.833,91.033,4
spotify:track:5RCWXfaXfwyMbDKWzjDhmp,"29","Life & Times","Billy Cobham",1976,154573,4,false,brunocaivanophy,2026-01-05T04:39:08Z,"jazz fusión,jazz funk,jazz","Rhino Atlantic",0.432,0.913,7,-9.439,1,0.085,0.136,0.0122,0.106,0.716,143.634,1
spotify:track:444KztZ7hPaz6fpZHYOSdD,"Episode VIII","The History of the Loop Digga, 1990-2000","Madlib",2010-05-25,57372,29,true,brunocaivanophy,2026-01-07T03:01:58Z,"hip hop experimental,hip hop alternativo,jazz rap,plunderphonics","Madlib Invazion",0.733,0.535,10,-6.776,0,0.107,0.0108,0.622,0.122,0.575,181.906,4
spotify:track:0bJc49FxXFABvIXhudXLCT,"Eko","Feels","Mndsgn",2013-11-26,137097,33,false,brunocaivanophy,2026-01-07T16:17:00Z,"","Alpha Pup",0.792,0.445,8,-9.173,1,0.054,0.159,0.934,0.108,0.346,139.997,4
spotify:track:2wM9Wqky53AsYk4QcNokxD,"Play Dis Only At Night","Petestrumentals","Pete Rock",2001,307426,27,false,brunocaivanophy,2026-01-07T16:17:08Z,"jazz rap,East Coast hip hop,boom bap","BBE Music",0.832,0.396,11,-10.393,1,0.295,0.214,0.809,0.177,0.859,88.982,4
spotify:track:5Ak2lR9I1OqS0fseVKSkS9,"Stormy","Shades Of Blue: Madlib Invades Blue Note","Morgan Adams Quartet Plus Two;Madlib",2003-06-24,221600,35,false,brunocaivanophy,2026-01-07T16:17:15Z,"plunderphonics,jazz rap,hip hop experimental,hip hop alternativo","Blue Note (BLU)",0.396,0.831,4,-7.294,0,0.227,0.00677,0.000856,0.0749,0.914,164.664,4
spotify:track:2zXIvwV1qg5RFGA8eRKEOB,"Uno Esta","Angles Without Edges","Yesterday's New Quintet;Madlib",2001-10-01,224506,19,false,brunocaivanophy,2026-01-07T16:17:29Z,"nu jazz,hip hop experimental,hip hop alternativo,jazz rap,plunderphonics","Stones Throw Records",0.716,0.575,1,-8.979,1,0.245,0.0254,0.562,0.226,0.501,95.9,4
spotify:track:1eu4rJy7zzqHXszxgRfA1j,"DD.004","J Dilla's Delights, Vol. 1","J Dilla",2017-06-16,163966,25,false,brunocaivanophy,2026-01-07T16:17:46Z,"plunderphonics,hip hop alternativo,jazz rap","Yancey Media Group",0.816,0.404,4,-11.377,1,0.201,0.582,0.856,0.0809,0.973,92.42,4
spotify:track:3AKZ9JDihDo2iZdV8aKGUS,"PianoJazz","HazyMoods","DJ Harrison",2017-06-16,134570,22,false,brunocaivanophy,2026-01-07T16:17:52Z,"","Stones Throw Records",0.724,0.543,8,-9.286,0,0.344,0.343,0.944,0.161,0.382,95.938,4
spotify:track:6ZpUDVKyZ3IPCGl50OBODA,"J Dilla the Greatest","Alone Together","Karriem Riggins",2012-10-22,102294,13,false,brunocaivanophy,2026-01-07T16:18:18Z,"","Stones Throw Records",0.307,0.74,6,-9.571,1,0.113,0.00626,0.603,0.0564,0.447,171.629,4
spotify:track:0u5tBdjQvMwr9Fqn1yif3c,"Antes Que Esqueça","Before We Forget","Azymuth",2000,788093,8,false,brunocaivanophy,2026-01-13T03:12:58Z,"jazz brasileño,jazz funk,jazz fusión,acid jazz","Far Out Recordings",0.704,0.781,7,-9.715,0,0.0466,0.00625,0.831,0.326,0.41,125.169,4
spotify:track:37vU1ZUwgAmVXwmTCSlKlB,"LuvPoem","DT002: Dil 'Blivers","ohbliv",2013-01-01,122798,27,false,brunocaivanophy,2026-01-13T16:09:20Z,"hip hop lo-fi","Alpha Pup",0.721,0.316,9,-12.876,1,0.177,0.768,0.936,0.104,0.237,86.012,4
spotify:track:1Td8HN3bFzk4fSqWM5TUxm,"J Dillalude","In My Element","Robert Glasper",2007-01-01,266653,32,false,brunocaivanophy,2026-01-13T16:09:29Z,"neosoul,jazz rap","Blue Note Records",0.539,0.217,5,-19.306,0,0.0457,0.489,0.306,0.104,0.689,87.531,4
spotify:track:69F6ywl3lOthHpXOodX4S2,"Jay Dee 39 - Instrumental","The King of Beats, Vol 2: Lost Scrolls","J Dilla",2016-02-19,167322,25,false,brunocaivanophy,2026-01-13T16:10:04Z,"plunderphonics,hip hop alternativo,jazz rap","Yancey Media Group",0.736,0.298,0,-10.305,1,0.13,0.654,0.898,0.0861,0.876,92.993,4
