Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2yh1I2eQHpE53pVe8lEtGW,"Sanctuary","Reflections of a Floating World","Elder",2018-06-29,673666,30,false,brunocaivanophy,2025-02-06T06:12:37Z,"stoner metal,stoner rock,sludge metal,doom metal,rock espacial,rock psicodélico,drone metal,neopsicodélico","Stickman Records",0.196,0.753,5,-6.854,1,0.0537,0.0000593,0.71,0.113,0.109,120.971,4
spotify:track:0LQjzFyz9ONT87pIemRWMX,"False Light","False Light","White Ward",2022-04-29,882924,20,false,brunocaivanophy,2025-02-16T18:45:19Z,"black metal","Debemur Morti Productions",0.242,0.914,8,-6.909,1,0.0944,0.000256,0.853,0.0706,0.0374,105.104,4
spotify:track:3Rd4UGMRy3WWY9rcSvpvlG,"Hot Rockin'","Point Of Entry","Judas Priest",1981,195226,38,false,brunocaivanophy,2025-02-27T01:35:38Z,"heavy metal,metal,rock pesado,glam metal","Columbia",0.353,0.937,7,-3.963,1,0.112,0.00425,0.00831,0.0659,0.505,171.418,4
spotify:track:5zITiikxJP51591PPTd0pU,"Magnolia","Lonely People With Power","Deafheaven",2025-03-28,254500,47,false,brunocaivanophy,2025-04-07T18:20:12Z,"black metal,shoegaze,post-rock","Roadrunner Records",0.153,0.924,2,-4.085,0,0.0842,0.00000344,0.955,0.0543,0.111,179.214,4
spotify:track:5a2hIQWInPjqkkFiUEgxoX,"Peace Sells - Remastered","Peace Sells...But Who's Buying (Deluxe Edition - Remastered)","Megadeth",1986,244160,62,false,brunocaivanophy,2025-04-12T16:01:20Z,"thrash metal,metal,heavy metal,speed metal","Capitol Records",0.322,0.932,4,-4.252,0,0.163,0.0000857,0.817,0.0969,0.376,138.042,4
spotify:track:7kb50FnMmXWhzCt5dHy3Ud,"Wake Up Dead - Remastered 2011","Peace Sells...But Who's Buying (Deluxe Edition - Remastered)","Megadeth",1986,220000,42,false,brunocaivanophy,2025-04-12T16:12:45Z,"thrash metal,metal,heavy metal,speed metal","Capitol Records",0.216,0.988,11,-3.878,0,0.215,0.000195,0.774,0.162,0.0904,162.997,4
spotify:track:6kfhVGfDRqiGYe4uDexFon,"NUNCA PEDI NACER","CONSTIMORDOR","BARRO;Julián Guerreiro",2023-08-17,187149,26,false,brunocaivanophy,2025-07-01T01:06:56Z,"","BARRO",0.34,0.977,7,-2.695,1,0.106,0.0000325,0.0106,0.362,0.191,195.904,4
spotify:track:4iDQzPpa7FJ1RYfIGdH49e,"The Silent Life","Where Owls Know My Name","Rivers of Nihil",2018-03-16,394577,44,false,brunocaivanophy,2025-12-18T05:23:07Z,"death metal,metal progresivo,djent,deathcore,metal,death metal melódico","Metal Blade Records",0.437,0.916,1,-6.515,0,0.0657,0.0000237,0.8,0.306,0.255,99.995,4
spotify:track:4qWjyFncOWS29Dg7WIzL1h,"FAKIN ROBOTS","CONSTIMORDOR","BARRO",2023-08-17,186000,21,true,brunocaivanophy,2025-07-01T01:10:26Z,"","BARRO",0.555,0.968,1,-3.435,0,0.0708,0.0000237,0.397,0.188,0.54,104.971,4
spotify:track:4cKjgFo52FGkzmnO051RxX,"Halo","The Blackening","Machine Head",2007-03-27,543398,43,true,brunocaivanophy,2025-07-01T02:19:31Z,"groove metal,metal,nu metal,thrash metal,rock pesado,heavy metal","Nuclear Blast X Imperium Recordings",0.229,0.969,9,-4.729,1,0.252,0.000191,0.0425,0.431,0.0875,148.609,4
spotify:track:19DXrs7rMsqiUdAFLmHGOs,"Suite-Pee","System Of A Down","System Of A Down",1998-06-30,151733,53,true,brunocaivanophy,2025-07-04T17:14:46Z,"nu metal,metal,metal alternativo,rap metal,rock","Epic",0.263,0.89,0,-2.913,1,0.177,0.0022,0.00348,0.306,0.286,190.389,4
spotify:track:7hjIktpd4oMAnMvFymDZIt,"Mr. Tinkertrain","No More Tears (Expanded Edition)","Ozzy Osbourne",1991-09-17,356865,53,false,brunocaivanophy,2025-07-22T22:26:22Z,"metal,glam metal,heavy metal,rock pesado","Epic",0.36,0.907,1,-7.138,1,0.0829,0.000435,0.00043,0.361,0.458,126.144,4
spotify:track:0B21PLND7imtl44Knuoz6A,"Rise - 2012 Remaster","Vulgar Display of Power (Expanded)","Pantera",1992,276746,42,true,brunocaivanophy,2025-11-23T17:50:13Z,"groove metal,metal,thrash metal,heavy metal","Rhino Atlantic",0.366,0.948,2,-5.115,1,0.0975,0.0000112,0.184,0.124,0.358,92.454,4
spotify:track:3orEDNYiGeafDlFNSAZ2Lw,"Inner Self","Beneath the Remains","Sepultura",1989-04-07,309253,56,false,brunocaivanophy,2025-11-23T17:50:21Z,"thrash metal,groove metal,metal,death metal,nu metal,heavy metal,speed metal,metal alternativo","Roadrunner Records",0.275,0.997,4,-5.216,1,0.0772,0.000164,0.0711,0.0737,0.0838,160.914,4
spotify:track:28ILqSCrIeWvU52pyZfsxx,"Postmortem","Reign In Blood (Expanded)","Slayer",1986-10-07,207466,54,false,brunocaivanophy,2025-12-17T06:49:47Z,"thrash metal,metal,speed metal,heavy metal,groove metal,death metal","American Recordings Catalog P&D",0.334,0.994,3,-4.1,0,0.0568,0.000193,0.0551,0.0976,0.205,138.636,4
spotify:track:0KAaslGdPc5I6WxmKe3whe,"Hangar 18","Rust In Peace","Megadeth",1990-01-01,314560,55,false,brunocaivanophy,2025-12-17T06:50:02Z,"thrash metal,metal,heavy metal,speed metal","Capitol Records",0.169,0.949,7,-10.595,1,0.114,0.000101,0.616,0.297,0.147,159.678,4
spotify:track:6qLgGLeawKyhMFJ848XtYD,"Dragonaut","Sleep's Holy Mountain","Sleep",1993,343160,52,false,brunocaivanophy,2025-12-18T05:21:03Z,"stoner metal,sludge metal,doom metal,stoner rock,drone metal,drone","Earache Records Ltd",0.352,0.65,5,-13.169,1,0.0415,0.00254,0.286,0.174,0.464,123.607,4
spotify:track:5r4qJlanw6v5p47X8HiErs,"Son of Nothing","Come My Fanatics...","Electric Wizard",2006,405226,27,false,brunocaivanophy,2025-12-18T05:31:33Z,"stoner metal,sludge metal,doom metal,drone metal,drone","Rise Above Limited",0.178,0.71,7,-5.802,1,0.0392,0.00000298,0.945,0.205,0.304,119.266,4
spotify:track:6QNJfu01hcQ8n8taGXXEqY,"Hurricane","...And the Circus Leaves Town","Kyuss",1995-05-30,152040,42,true,brunocaivanophy,2025-12-18T05:31:55Z,"stoner rock,stoner metal,sludge metal,doom metal,rock espacial","Rhino/Elektra",0.232,0.955,4,-8.308,1,0.0447,0.00341,0.951,0.122,0.829,186.946,4
spotify:track:79kqINuLdQcryVgvwKIGrV,"Don't Talk To Strangers","Holy Diver (Deluxe Edition)","Dio",1983,291026,41,false,brunocaivanophy,2025-12-30T15:41:29Z,"heavy metal,metal,rock pesado","UMC (Universal Music Catalogue)",0.345,0.886,2,-8.784,0,0.0747,0.083,0.00172,0.106,0.246,132.415,4
spotify:track:1mCkYgUgYE5eypdOSPaxH5,"Subtle Change (Including the Forest of Transition and Dissatisfaction Dance)","Where Owls Know My Name","Rivers of Nihil",2018-03-16,514145,35,false,brunocaivanophy,2026-01-02T01:52:33Z,"death metal,metal progresivo,djent,deathcore,metal,death metal melódico","Metal Blade Records",0.318,0.828,8,-7.043,0,0.0691,0.000364,0.756,0.287,0.0767,159.963,4
